阿尔巴尼亚	地拉那
阿尔及利亚	阿尔及尔
阿富汗	喀布尔
阿根廷	布宜诺斯艾利斯
阿拉伯联合酋长国	阿布扎比
阿曼	马斯喀特
阿塞拜疆	巴库
埃及	开罗
埃塞俄比亚	亚的斯亚贝巴
爱尔兰共和国	都柏林
爱沙尼亚	塔林
安道尔	安道尔城
安哥拉	罗安达
安提瓜和巴布达	圣约翰
奥地利	维也纳
澳大利亚	堪培拉
巴巴多斯	布里奇敦
巴布亚新几内亚	莫尔兹比港
巴哈马	拿骚
巴基斯坦	伊斯兰堡
巴拉圭	亚松森
巴勒斯坦	耶路撒冷
巴林	麦纳麦
巴拿马	巴拿马城
巴西	巴西利亚
白俄罗斯	明斯克
保加利亚	索菲亚
贝宁	波多诺伏	科托努
比利时	布鲁塞尔
秘鲁	利马
冰岛	雷克雅未克
波兰	华沙
波斯尼亚和黑塞哥维那	萨拉热窝
玻利维亚	拉巴斯	苏克雷
伯利兹	贝尔莫潘
博茨瓦纳	哈博罗内
不丹	廷布
布基纳法索	瓦加杜古
布隆迪	布琼布拉
朝鲜	平壤
赤道几内亚	马拉博
丹麦	哥本哈根
德国	柏林
东帝汶	帝力
多哥	洛美
多米尼加	圣多明各
多米尼克	罗索
俄罗斯	莫斯科
厄瓜多尔	基多
厄立特里亚	阿斯马拉
法国	巴黎
梵蒂冈	梵蒂冈城
菲律宾	马尼拉
斐济	苏瓦
芬兰	赫尔辛基
佛得角	普拉亚
冈比亚	班珠尔
刚果共和国	布拉柴维尔
刚果民主共和国	金沙萨
哥伦比亚	圣菲波哥大
哥斯达黎加	圣何塞
格林纳达	圣乔治
格鲁吉亚	第比利斯
根西岛	圣彼得港
古巴	哈瓦那
圭亚那	乔治敦
哈萨克斯坦	阿斯塔纳
海地	太子港
韩国	首尔	世宗
荷兰	阿姆斯特丹	海牙
黑山	波德戈里察
洪都拉斯	特古西加尔巴
基里巴斯	塔拉瓦
吉布提	吉布提
吉尔吉斯斯坦	比什凯克
几内亚	科纳克里
几内亚比绍	比绍
加拿大	渥太华
加纳	阿克拉
加蓬	利伯维尔
柬埔寨	金边
捷克	布拉格
津巴布韦	哈拉雷
喀麦隆	雅温得
卡塔尔	多哈
科摩罗	莫罗尼
科特迪瓦	亚穆苏克罗	阿比让
科威特	科威特城
克罗地亚	萨格勒布
肯尼亚	内罗毕
拉脱维亚	里加
莱索托	马塞卢
老挝	万象
黎巴嫩	贝鲁特
立陶宛	维尔纽斯
利比里亚	蒙罗维亚
利比亚	的黎波里
列支敦士登	瓦杜兹
卢森堡	卢森堡
卢旺达	基加利
罗马尼亚	布加勒斯特
马达加斯加	塔那那利佛
马尔代夫	马累
马耳他	瓦莱塔
马拉维	利隆圭
马来西亚	吉隆坡	布城
马里	巴马科
马其顿	斯科普里
马绍尔群岛	马朱罗
毛里求斯	路易港
毛里塔尼亚	努瓦克肖特
美国	华盛顿哥伦比亚特区
蒙古	乌兰巴托
孟加拉国	达卡
密克罗尼西亚联邦	帕利基尔
缅甸	内比都
摩尔多瓦	基希讷乌
摩洛哥	拉巴特
摩纳哥	摩纳哥
莫桑比克	马普托
墨西哥	墨西哥城
纳米比亚	温得和克
南非	开普敦	比勒陀利亚	布隆方丹
南苏丹	朱巴
瑙鲁	亚伦
尼泊尔	加德满都
尼加拉瓜	马那瓜
尼日尔	尼亚美
尼日利亚	阿布贾
纽埃	阿洛菲
挪威	奥斯陆
帕劳	梅莱凯约克
葡萄牙	里斯本
日本	东京
瑞典	斯德哥尔摩
瑞士	伯尔尼
萨尔瓦多	圣萨尔瓦多
萨摩亚	阿皮亚
塞尔维亚	贝尔格莱德
塞拉利昂	弗里敦
塞内加尔	达喀尔
塞浦路斯	尼古西亚
塞舌尔	维多利亚
沙特阿拉伯	利雅得
圣多美和普林西比	圣多美
圣基茨和尼维斯	巴斯特尔
圣卢西亚	卡斯特里
圣马力诺	圣马力诺
圣文森特和格林纳丁斯	金斯敦
斯里兰卡	科伦坡	斯里贾亚瓦德纳普拉科特
斯洛伐克	布拉迪斯拉发
斯洛文尼亚	卢布尔雅那
斯威士兰	姆巴巴纳
苏丹	喀土穆
苏里南	帕拉马里博
所罗门群岛	霍尼亚拉
索马里	摩加迪沙
塔吉克斯坦	杜尚別
泰国	曼谷
坦桑尼亚	多多马	达累斯萨拉姆
汤加	努库阿洛法
特立尼达和多巴哥	西班牙港
突尼斯	突尼斯
图瓦卢	富纳富提
土耳其	安卡拉
土库曼斯坦	阿什哈巴德
瓦努阿图	维拉港
危地马拉	危地马拉城
委内瑞拉	加拉加斯
文莱	斯里巴加湾市
乌干达	坎帕拉
乌克兰	基辅
乌拉圭	蒙特维多市
乌兹别克斯坦	塔什干
西班牙	马德里
西撒哈拉	阿尤恩
希腊	雅典
新加坡	新加坡
新西兰	惠灵顿
匈牙利	布达佩斯
叙利亚	大马士革
牙买加	金斯敦
亚美尼亚	埃里温
也门	萨那
伊拉克	巴格达
伊朗	德黑兰
以色列	台拉维夫
意大利	罗马
印度	新德里
印度尼西亚	雅加达
英国	伦敦
约旦	安曼
越南	河内
赞比亚	卢萨卡
乍得	恩贾梅纳
智利	圣地亚哥	瓦尔帕莱索
中非	班吉
中华人民共和国	北京
中华民国	台湾	台北
