Canada	g:加拿大
所罗门群岛	g:所罗门群岛
古巴	g:古巴共和国
Saint Helena	g:圣赫勒拿
斯洛伐克	g:斯洛伐克共和国
贝宁	g:贝宁共和国
安哥拉共和国	g:安哥拉共和国
圣基茨和尼维斯联邦	g:圣基茨和尼维斯联邦
北塞浦路斯	g:北塞浦路斯土耳其共和国
Cameroon	g:喀麦隆共和国
Burkina Faso	g:布基纳法索
贝宁共和国	g:贝宁共和国
Somaliland	g:索马里兰共和国
英属维尔京群岛	g:英属维京群岛
Togo	g:多哥共和国
瓦努阿图共和国	g:瓦努阿图共和国
挪威	g:挪威王国
Cocos (Keeling) Islands	g:科科斯（基林）群岛
佛得角	g:佛得角共和国
阿尔巴尼亚	g:阿尔巴尼亚共和国
Dominica	g:多米尼克国
比利时	g:比利时王国
科索沃共和国	g:科索沃共和国
泰国	g:泰王国
海地	g:海地共和国
马来西亚	g:马来西亚
伊拉克	g:伊拉克共和国
马绍尔群岛	g:马绍尔群岛共和国
Saint Pierre and Miquelon	g:圣皮埃尔和密克隆群岛
Wallis and Futuna	g:瓦利斯和富图纳群岛
喀麦隆共和国	g:喀麦隆共和国
Jersey	g:泽西岛
纳戈尔诺-卡拉巴赫	g:纳戈尔诺-卡拉巴赫共和国
摩纳哥	g:摩纳哥公国
洪都拉斯	g:洪都拉斯共和国
孟加拉国	g:孟加拉人民共和国
阿曼	g:阿曼苏丹国
乌兹别克斯坦共和国	g:乌兹别克斯坦共和国
布隆迪	g:布隆迪共和国
Macao	g:中华人民共和国澳门特别行政区
Turkey	g:土耳其共和国
Falkland Islands	g:福克兰群岛（马尔维纳斯群岛）
马约特	g:马约特
Swaziland	g:斯威士兰王国
萨摩亚独立国	g:萨摩亚独立国
阿拉伯撒哈拉民主共和国	g:阿拉伯撒哈拉民主共和国
巴拿马	g:巴拿马共和国
Slovakia	g:斯洛伐克共和国
坦桑尼亚联合共和国	g:坦桑尼亚联合共和国
秘鲁	g:秘鲁共和国
Nauru	g:瑙鲁共和国
立陶宛	g:立陶宛共和国
Western Sahara	g:阿拉伯撒哈拉民主共和国
乍得共和国	g:乍得共和国
纳戈尔诺-卡拉巴赫共和国	g:纳戈尔诺-卡拉巴赫共和国
Montenegro	g:黑山
利比里亚共和国	g:利比里亚共和国
新加坡	g:新加坡共和国
卡塔尔	g:卡塔尔国
利比亚	g:利比亚国
萨摩亚	g:萨摩亚独立国
Indonesia	g:印度尼西亚共和国
古巴共和国	g:古巴共和国
Libya	g:利比亚国
The Holy See（Vatican City）	g:梵蒂冈城国
Finland	g:芬兰共和国
诺福克岛	g:诺福克岛
Central African Republic	g:中非共和国
墨西哥	g:墨西哥合众国
德涅斯特河左岸	g:德涅斯特河沿岸摩尔达维亚共和国
Liechtenstein	g:列支敦士登公国
伊拉克共和国	g:伊拉克共和国
Northern Cyprus	g:北塞浦路斯土耳其共和国
United States	g:美利坚合众国
Portugal	g:葡萄牙共和国
Cyprus	g:塞浦路斯共和国
巴西	g:巴西联邦共和国
Sweden	g:瑞典王国
黎巴嫩共和国	g:黎巴嫩共和国
Barbados	g:巴巴多斯
日本	g:日本国
格鲁吉亚	g:格鲁吉亚
香港	g:中华人民共和国香港特别行政区
马耳他共和国	g:马耳他共和国
马恩岛	g:马恩岛
巴西联邦共和国	g:巴西联邦共和国
Kuwait	g:科威特国
越南	g:越南社会主义共和国
Costa Rica	g:哥斯达黎加共和国
毛里塔尼亚	g:毛里塔尼亚伊斯兰共和国
匈牙利	g:匈牙利
蒙特塞拉特	g:蒙特塞拉特
哥伦比亚	g:哥伦比亚共和国
Nigeria	g:尼日利亚联邦共和国
Ukraine	g:乌克兰
基里巴斯	g:基里巴斯共和国
Ecuador	g:厄瓜多尔共和国
也门共和国	g:也门共和国
Australia	g:澳大利亚联邦
科特迪瓦	g:科特迪瓦共和国
Tuvalu	g:图瓦卢
帕劳	g:帕劳共和国
印度尼西亚共和国	g:印度尼西亚共和国
Pitcairn Islands	g:皮特开恩群岛
马绍尔群岛共和国	g:马绍尔群岛共和国
波兰	g:波兰共和国
安道尔	g:安道尔公国
塞拉利昂	g:塞拉利昂共和国
Hong Kong	g:中华人民共和国香港特别行政区
汤加王国	g:汤加王国
Denmark	g:丹麦王国
Philippines	g:菲律宾共和国
毛里求斯	g:毛里求斯共和国
斯洛文尼亚	g:斯洛文尼亚共和国
Morocco	g:摩洛哥王国
列支敦士登公国	g:列支敦士登公国
南奥塞梯	g:南奥塞梯共和国
巴拿马共和国	g:巴拿马共和国
纳米比亚	g:纳米比亚共和国
突尼斯共和国	g:突尼斯共和国
北塞浦路斯土耳其共和国	g:北塞浦路斯土耳其共和国
乍得	g:乍得共和国
